Player,Position,AV,From,To,Notes
Mike Kelley,QB,1,1987,1987,KellMi21
Mike Kerrigan,QB,0,1983,1984,KerrMi00
Mike Kirkland,QB,1,1978,1978,KirkMi00
Mike Koken,QB-HB,,1933,1933,KokeMi20
Mike Kruczek,QB,7,1976,1980,KrucMi00
Mike Livingston,QB,50,1968,1979,LiviMi00
Mike Loyd,QB,0,1980,1980,LoydMi00
Mike Machurek,QB,1,1984,1984,MachMi00
Mike McMahon,QB,6,2001,2005,McMaMi00
Mike Micka,FB-HB-QB,,1944,1948,MickMi20
Mike Moroski,QB,8,1979,1986,MoroMi00
Mike Norseth,QB,0,1988,1988,NorsMi20
Mike Nott,QB,0,1976,1976,NottMi00
Mike Pagel,QB,32,1982,1993,PageMi00
Mike Perrie,QB,,1939,1939,PerrMi20
Mike Phipps,QB,46,1970,1981,PhipMi00
Mike Quinn,QB,0,1997,1998,QuinMi00
Mike Rae,QB,9,1976,1979,RaexMi00
Mike Taliaferro,QB,13,1964,1972,TaliMi00
Mike Tomczak,QB,57,1985,1999,TomcMi00
Mike Wells,QB,0,1977,1977,WellMi21
Mike White,QB,5,2021,2024,WhitMi01
Milt Plum,QB,59,1957,1969,PlumMi00
Milt Smith,DB-QB,,1945,1945,SmitMi24
Mitchell Trubisky,QB,43,2017,2024,TrubMi00
Monte McGuire,QB,0,1987,1987,McGuMo20
Moses Moreno,QB,1,1998,2000,MoreMo00
Murray Evans,BB-QB,,1942,1943,EvanMu20
Nate Sudfeld,QB,1,2017,2022,SudfNa00
Nathan Peterman,QB,3,2017,2023,PeteNa00
Neal Jeffrey,QB,0,1976,1976,JeffNe00
Neil Graff,QB,1,1974,1977,GrafNe00
Neil Lomax,QB,82,1981,1988,LomaNe00
Neil O'Donnell,QB,73,1991,2003,ODonNe00
Nick Foles,QB,37,2012,2022,FoleNi00
Nick Mullens,QB,17,2018,2024,MullNi00
Nick Papac,QB,1,1961,1961,PapaNi00
Nick Sacrinty,QB,,1947,1947,SacrNi20
Nick Scollard,E-QB,,1946,1949,ScolNi20
Nick Sebek,QB,,1950,1950,SebeNi20
Norm Cox,QB-TB,,1946,1947,CoxxNo20
Norm Snead,QB,114,1961,1976,SneaNo00
Norm Van Brocklin+,QB,17,1949,1960,VanBNo00
Norris Weese,QB-P,10,1976,1979,WeesNo00
Ogden Compton,QB,,1955,1955,CompOg20
Oliver Luck,QB,6,1983,1986,LuckOl00
Otto Graham+,QB-DB,,1946,1955,GrahOt00
P.J. Walker,QB,6,2020,2023,WalkPh00
Pard Pearce,QB-BB,,1920,1925,PearPa20
Parnell Dickinson,QB,1,1976,1976,DickPa00
Pat Barnes,QB,0,1999,1999,BarnPa20
Pat Brady,QB-K,,1952,1954,BradPa21
Pat Haden,QB,36,1976,1981,HadePa00
Pat Ryan,QB,14,1978,1991,RyanPa00
Pat Sullivan,QB,3,1972,1975,SullPa00
Patrick Mahomes,QB,123,2017,2024,MahoPa00
Patrick Ramsey,QB,15,2002,2008,RamsPa00
Paul Christman,QB,,1945,1950,ChriPa20
Paul Collins,QB,,1945,1945,CollPa22
Paul Governali,QB-TB,,1946,1948,GovePa20
Paul Held,QB,,1954,1955,HeldPa20
Paul Hornung+,HB-FB-QB,49,1957,1966,HornPa00
Paul Justin,QB,8,1995,1999,JustPa00
Paul Larson,QB,0,1957,1960,LarsPa00
Paul McDonald,QB,16,1980,1986,McDoPa00
Paul Rickards,QB,,1948,1948,RickPa20
Paxton Lynch,QB,2,2016,2017,LyncPa00
Perry Klein,QB,0,1994,1994,KleiPe20
Perry Moss,QB,,1948,1948,MossPe20
Pete Beathard,QB,31,1964,1973,BeatPe00
Pete Gonzalez,QB,0,1999,1999,GonzPe00
Pete Lauer,FB-QB,,1922,1922,LauePe20
Pete Liske,QB,19,1964,1972,LiskPe00
Pete Mikolajewski,QB,0,1969,1969,MikoPe20
Peter Tom Willis,QB,4,1990,1993,WillPe00
Peyton Manning+,QB,271,1998,2015,MannPe00
Phil Simms,QB,118,1979,1993,SimmPh00
Philip Rivers,QB,218,2004,2020,RivePh00
Porter Lainhart,QB,,1933,1933,LainPo20
Quincy Carter,QB,17,2001,2004,CartQu00
Quinn Gray,QB,6,2005,2008,GrayQu00
Rabbit Keen,QB,,1937,1938,KeenRa20
Ralph Guglielmi,QB,13,1955,1963,GuglRa00
Ralph Marston,QB,,1929,1929,MarsRa21
Randall Cunningham,QB,137,1985,2001,CunnRa00
Randy Dean,QB,2,1977,1979,DeanRa00
Randy Duncan,QB,2,1961,1961,DuncRa00
Randy Fasani,QB,1,2002,2002,FasaRa00
Randy Hedberg,QB,1,1977,1977,HedbRa00
Randy Johnson,QB,28,1966,1976,JohnRa00
Randy Wright,QB,15,1984,1988,WrigRa00
Ray Brown,DB-QB,2,1958,1960,BrowRa21
Ray Lucas,QB,12,1996,2002,LucaRa00
Ray Mallouf,QB-TB,,1941,1949,MallRa20
Ray Nagel,QB,,1953,1953,NageRa20
Reggie Collier,QB,1,1986,1987,CollRe20
Reggie McNeal,QB,0,2006,2006,McNeRe00
Reino Nori,QB,,1937,1938,NoriRe20
Rex Grossman,QB,25,2003,2011,GrosRe00
Rich Campbell,QB,2,1981,1984,CampRi00
Rich Gannon,QB,118,1987,2004,GannRi00
Richard Badar,QB,0,1967,1967,BadaRi20
Richard Bartel,QB,0,2010,2011,BartRi00
Richard Todd,QB,71,1976,1985,ToddRi00
Richie Lucas,QB-DB-HB,4,1960,1961,LucaRi00
Rick Arrington,QB,4,1970,1972,ArriRi00
Rick McIvor,QB,0,1984,1985,McIvRi20
Rick Mirer,QB,36,1993,2003,MireRi00
